week,date,team,opponent,home_or_away,time,rest_days,reserved,is_locked_out,expected_avail,spot_value,projected_win_prob,notes_future,spot_quality,preferred,must_use,save_for_later,notes,spot_value_score,max_future_prob,future_depth_ge55,future_depth_ge60
1,2025-09-07,CIN,CLE,Away,1:00 PM,7,False,False,False,Medium,0.8039,,,False,False,False,,0.6431,0.8039,9,5
2,2025-09-14,CIN,JAX,Home,1:00 PM,7,False,False,False,Medium,0.7041,,,False,False,False,,0.6133,0.8039,8,4
3,2025-09-21,CIN,MIN,Away,1:00 PM,7,False,False,False,Low,0.5556,,,False,False,False,,0.4445,0.8039,7,4
4,2025-09-29,CIN,DEN,Away,8:15 PM,8,False,False,False,Low,0.5745,,,False,False,False,,0.4596,0.8039,6,4
5,2025-10-05,CIN,DET,Home,4:25 PM,6,False,False,False,Low,0.495,,,False,False,False,,0.446,0.8039,6,4
6,2025-10-12,CIN,GB,Away,4:25 PM,7,False,False,False,Low,0.6183,,,False,False,False,,0.4446,0.8039,5,3
7,2025-10-16,CIN,PIT,Home,8:15 PM,4,False,False,False,Low,0.4878,,,False,False,False,,0.4402,0.8039,5,3
8,2025-10-26,CIN,NYJ,Home,1:00 PM,10,False,False,False,Medium,0.7802,,,False,False,False,,0.6742,0.8039,4,2
9,2025-11-02,CIN,CHI,Home,1:00 PM,7,False,False,False,Low,0.4132,,,False,False,False,,0.3806,0.8039,4,2
11,2025-11-16,CIN,PIT,Away,1:00 PM,14,False,False,False,Low,0.4878,,,False,False,False,,0.4402,0.8039,4,2
12,2025-11-23,CIN,NE,Home,1:00 PM,7,False,False,False,Medium,0.6923,,,False,False,False,,0.6038,0.8039,3,1
13,2025-11-27,CIN,BAL,Away,8:20 PM,4,False,False,False,Low,0.5868,,,False,False,False,,0.4694,0.8039,2,1
14,2025-12-07,CIN,BUF,Away,4:25 PM,10,False,False,False,Low,0.339,,,False,False,False,,0.2712,0.8039,2,1
15,2025-12-14,CIN,BAL,Home,1:00 PM,7,False,False,False,Medium,0.5868,,,False,False,False,,0.5194,0.8039,1,1
