week,team,opponent,home_or_away,reserved,is_locked_out,expected_avail,spot_value,projected_win_prob,notes_future,spot_quality,preferred,must_use,save_for_later,notes,_week_num,_winp,_future_max,_future_good_0_55,_future_good_0_6,_scarcity@0.55,_scarcity@0.6
8,CIN,NYJ,Home,,,,,,,,,,,,8,,,0,0,False,False
9,CIN,CHI,Home,,,,,,,,,,,,9,,,0,0,False,False
10,CIN,BYE,Home,,,,,,,,,,,,10,,,0,0,False,False
12,CIN,NE,Home,,,,,,,,,,,,12,,,0,0,False,False
15,CIN,BAL,Home,,,,,,,,,,,,15,,,0,0,False,False
17,CIN,ARI,Home,,,,,,,,,,,,17,,,0,0,False,False
18,CIN,CLE,Home,,,,,,,,,,,,18,,,0,0,False,False
1,CLE,CIN,Home,,,,,,,,,,,,1,,,0,0,False,False
3,CLE,GB,Home,,,,,,,,,,,,3,,,0,0,False,False
5,CLE,MIN,Home,,,,,,,,,,,,5,,,0,0,False,False
7,CLE,MIA,Home,,,,,,,,,,,,7,,,0,0,False,False
9,CLE,BYE,Home,,,,,,,,,,,,9,,,0,0,False,False
11,CLE,BAL,Home,,,,,,,,,,,,11,,,0,0,False,False
13,CLE,SF,Home,,,,,,,,,,,,13,,,0,0,False,False
14,CLE,TEN,Home,,,,,,,,,,,,14,,,0,0,False,False
16,CLE,BUF,Home,,,,,,,,,,,,16,,,0,0,False,False
17,CLE,PIT,Home,,,,,,,,,,,,17,,,0,0,False,False
2,DAL,NYG,Home,,,,,,,,,,,,2,,,0,0,False,False
4,DAL,GB,Home,,,,,,,,,,,,4,,,0,0,False,False
7,DAL,WSH,Home,,,,,,,,,,,,7,,,0,0,False,False
9,DAL,ARI,Home,,,,,,,,,,,,9,,,0,0,False,False
10,DAL,BYE,Home,,,,,,,,,,,,10,,,0,0,False,False
12,DAL,PHI,Home,,,,,,,,,,,,12,,,0,0,False,False
13,DAL,KC,Home,,,,,,,,,,,,13,,,0,0,False,False
15,DAL,MIN,Home,,,,,,,,,,,,15,,,0,0,False,False
16,DAL,LAC,Home,,,,,,,,,,,,16,,,0,0,False,False
1,DEN,TEN,Home,,,,,,,,,,,,1,,,0,0,False,False
4,DEN,CIN,Home,,,,,,,,,,,,4,,,0,0,False,False
7,DEN,NYG,Home,,,,,,,,,,,,7,,,0,0,False,False
8,DEN,DAL,Home,,,,,,,,,,,,8,,,0,0,False,False
10,DEN,LV,Home,,,,,,,,,,,,10,,,0,0,False,False
11,DEN,KC,Home,,,,,,,,,,,,11,,,0,0,False,False
12,DEN,BYE,Home,,,,,,,,,,,,12,,,0,0,False,False
15,DEN,GB,Home,,,,,,,,,,,,15,,,0,0,False,False
16,DEN,JAX,Home,,,,,,,,,,,,16,,,0,0,False,False
18,DEN,LAC,Home,,,,,,,,,,,,18,,,0,0,False,False
2,DET,CHI,Home,,,,,,,,,,,,2,,,0,0,False,False
4,DET,CLE,Home,,,,,,,,,,,,4,,,0,0,False,False
7,DET,TB,Home,,,,,,,,,,,,7,,,0,0,False,False
8,DET,BYE,Home,,,,,,,,,,,,8,,,0,0,False,False
9,DET,MIN,Home,,,,,,,,,,,,9,,,0,0,False,False
12,DET,NYG,Home,,,,,,,,,,,,12,,,0,0,False,False
13,DET,GB,Home,,,,,,,,,,,,13,,,0,0,False,False
14,DET,DAL,Home,,,,,,,,,,,,14,,,0,0,False,False
16,DET,PIT,Home,,,,,,,,,,,,16,,,0,0,False,False
1,GB,DET,Home,,,,,,,,,,,,1,,,0,0,False,False
2,GB,WSH,Home,,,,,,,,,,,,2,,,0,0,False,False
5,GB,BYE,Home,,,,,,,,,,,,5,,,0,0,False,False
6,GB,CIN,Home,,,,,,,,,,,,6,,,0,0,False,False
9,GB,CAR,Home,,,,,,,,,,,,9,,,0,0,False,False
10,GB,PHI,Home,,,,,,,,,,,,10,,,0,0,False,False
12,GB,MIN,Home,,,,,,,,,,,,12,,,0,0,False,False
14,GB,CHI,Home,,,,,,,,,,,,14,,,0,0,False,False
17,GB,BAL,Home,,,,,,,,,,,,17,,,0,0,False,False
2,HOU,TB,Home,,,,,,,,,,,,2,,,0,0,False,False
4,HOU,TEN,Home,,,,,,,,,,,,4,,,0,0,False,False
6,HOU,BYE,Home,,,,,,,,,,,,6,,,0,0,False,False
8,HOU,SF,Home,,,,,,,,,,,,8,,,0,0,False,False
9,HOU,DEN,Home,,,,,,,,,,,,9,,,0,0,False,False
10,HOU,JAX,Home,,,,,,,,,,,,10,,,0,0,False,False
12,HOU,BUF,Home,,,,,,,,,,,,12,,,0,0,False,False
15,HOU,ARI,Home,,,,,,,,,,,,15,,,0,0,False,False
16,HOU,LV,Home,,,,,,,,,,,,16,,,0,0,False,False
18,HOU,IND,Home,,,,,,,,,,,,18,,,0,0,False,False
1,IND,MIA,Home,,,,,,,,,,,,1,,,0,0,False,False
2,IND,DEN,Home,,,,,,,,,,,,2,,,0,0,False,False
5,IND,LV,Home,,,,,,,,,,,,5,,,0,0,False,False
6,IND,ARI,Home,,,,,,,,,,,,6,,,0,0,False,False
8,IND,TEN,Home,,,,,,,,,,,,8,,,0,0,False,False
10,IND,ATL,Home,,,,,,,,,,,,10,,,0,0,False,False
11,IND,BYE,Home,,,,,,,,,,,,11,,,0,0,False,False
13,IND,HOU,Home,,,,,,,,,,,,13,,,0,0,False,False
16,IND,SF,Home,,,,,,,,,,,,16,,,0,0,False,False
17,IND,JAX,Home,,,,,,,,,,,,17,,,0,0,False,False
1,JAX,CAR,Home,,,,,,,,,,,,1,,,0,0,False,False
3,JAX,HOU,Home,,,,,,,,,,,,3,,,0,0,False,False
5,JAX,KC,Home,,,,,,,,,,,,5,,,0,0,False,False
6,JAX,SEA,Home,,,,,,,,,,,,6,,,0,0,False,False
7,JAX,LAR,Home,,,,,,,,,,,,7,,,0,0,False,False
8,JAX,BYE,Home,,,,,,,,,,,,8,,,0,0,False,False
11,JAX,LAC,Home,,,,,,,,,,,,11,,,0,0,False,False
14,JAX,IND,Home,,,,,,,,,,,,14,,,0,0,False,False
15,JAX,NYJ,Home,,,,,,,,,,,,15,,,0,0,False,False
18,JAX,TEN,Home,,,,,,,,,,,,18,,,0,0,False,False
2,KC,PHI,Home,,,,,,,,,,,,2,,,0,0,False,False
4,KC,BAL,Home,,,,,,,,,,,,4,,,0,0,False,False
6,KC,DET,Home,,,,,,,,,,,,6,,,0,0,False,False
7,KC,LV,Home,,,,,,,,,,,,7,,,0,0,False,False
8,KC,WSH,Home,,,,,,,,,,,,8,,,0,0,False,False
10,KC,BYE,Home,,,,,,,,,,,,10,,,0,0,False,False
12,KC,IND,Home,,,,,,,,,,,,12,,,0,0,False,False
14,KC,HOU,Home,,,,,,,,,,,,14,,,0,0,False,False
15,KC,LAC,Home,,,,,,,,,,,,15,,,0,0,False,False
17,KC,DEN,Home,,,,,,,,,,,,17,,,0,0,False,False
1,LAC,KC,Home,,,,,,,,,,,,1,,,0,0,False,False
3,LAC,DEN,Home,,,,,,,,,,,,3,,,0,0,False,False
5,LAC,WSH,Home,,,,,,,,,,,,5,,,0,0,False,False
7,LAC,IND,Home,,,,,,,,,,,,7,,,0,0,False,False
8,LAC,MIN,Home,,,,,,,,,,,,8,,,0,0,False,False
10,LAC,PIT,Home,,,,,,,,,,,,10,,,0,0,False,False
12,LAC,BYE,Home,,,,,,,,,,,,12,,,0,0,False,False
13,LAC,LV,Home,,,,,,,,,,,,13,,,0,0,False,False
14,LAC,PHI,Home,,,,,,,,,,,,14,,,0,0,False,False
17,LAC,HOU,Home,,,,,,,,,,,,17,,,0,0,False,False
1,LAR,HOU,Home,,,,,,,,,,,,1,,,0,0,False,False
4,LAR,IND,Home,,,,,,,,,,,,4,,,0,0,False,False
5,LAR,SF,Home,,,,,,,,,,,,5,,,0,0,False,False
8,LAR,BYE,Home,,,,,,,,,,,,8,,,0,0,False,False
9,LAR,NO,Home,,,,,,,,,,,,9,,,0,0,False,False
11,LAR,SEA,Home,,,,,,,,,,,,11,,,0,0,False,False
12,LAR,TB,Home,,,,,,,,,,,,12,,,0,0,False,False
15,LAR,DET,Home,,,,,,,,,,,,15,,,0,0,False,False
18,LAR,ARI,Home,,,,,,,,,,,,18,,,0,0,False,False
2,LV,LAC,Home,,,,,,,,,,,,2,,,0,0,False,False
4,LV,CHI,Home,,,,,,,,,,,,4,,,0,0,False,False
6,LV,TEN,Home,,,,,,,,,,,,6,,,0,0,False,False
8,LV,BYE,Home,,,,,,,,,,,,8,,,0,0,False,False
9,LV,JAX,Home,,,,,,,,,,,,9,,,0,0,False,False
11,LV,DAL,Home,,,,,,,,,,,,11,,,0,0,False,False
12,LV,CLE,Home,,,,,,,,,,,,12,,,0,0,False,False
14,LV,DEN,Home,,,,,,,,,,,,14,,,0,0,False,False
17,LV,NYG,Home,,,,,,,,,,,,17,,,0,0,False,False
18,LV,KC,Home,,,,,,,,,,,,18,,,0,0,False,False
2,MIA,NE,Home,,,,,,,,,,,,2,,,0,0,False,False
4,MIA,NYJ,Home,,,,,,,,,,,,4,,,0,0,False,False
6,MIA,LAC,Home,,,,,,,,,,,,6,,,0,0,False,False
9,MIA,BAL,Home,,,,,,,,,,,,9,,,0,0,False,False
10,MIA,BUF,Home,,,,,,,,,,,,10,,,0,0,False,False
11,MIA,WSH,Home,,,,,,,,,,,,11,,,0,0,False,False
12,MIA,BYE,Home,,,,,,,,,,,,12,,,0,0,False,False
13,MIA,NO,Home,,,,,,,,,,,,13,,,0,0,False,False
16,MIA,CIN,Home,,,,,,,,,,,,16,,,0,0,False,False
17,MIA,TB,Home,,,,,,,,,,,,17,,,0,0,False,False
2,MIN,ATL,Home,,,,,,,,,,,,2,,,0,0,False,False
3,MIN,CIN,Home,,,,,,,,,,,,3,,,0,0,False,False
6,MIN,BYE,Home,,,,,,,,,,,,6,,,0,0,False,False
7,MIN,PHI,Home,,,,,,,,,,,,7,,,0,0,False,False
10,MIN,BAL,Home,,,,,,,,,,,,10,,,0,0,False,False
11,MIN,CHI,Home,,,,,,,,,,,,11,,,0,0,False,False
14,MIN,WSH,Home,,,,,,,,,,,,14,,,0,0,False,False
17,MIN,DET,Home,,,,,,,,,,,,17,,,0,0,False,False
18,MIN,GB,Home,,,,,,,,,,,,18,,,0,0,False,False
1,NE,LV,Home,,,,,,,,,,,,1,,,0,0,False,False
3,NE,PIT,Home,,,,,,,,,,,,3,,,0,0,False,False
4,NE,CAR,Home,,,,,,,,,,,,4,,,0,0,False,False
8,NE,CLE,Home,,,,,,,,,,,,8,,,0,0,False,False
9,NE,ATL,Home,,,,,,,,,,,,9,,,0,0,False,False
11,NE,NYJ,Home,,,,,,,,,,,,11,,,0,0,False,False
13,NE,NYG,Home,,,,,,,,,,,,13,,,0,0,False,False
14,NE,BYE,Home,,,,,,,,,,,,14,,,0,0,False,False
15,NE,BUF,Home,,,,,,,,,,,,15,,,0,0,False,False
18,NE,MIA,Home,,,,,,,,,,,,18,,,0,0,False,False
1,NO,ARI,Home,,,,,,,,,,,,1,,,0,0,False,False
2,NO,SF,Home,,,,,,,,,,,,2,,,0,0,False,False
5,NO,NYG,Home,,,,,,,,,,,,5,,,0,0,False,False
6,NO,NE,Home,,,,,,,,,,,,6,,,0,0,False,False
8,NO,TB,Home,,,,,,,,,,,,8,,,0,0,False,False
11,NO,BYE,Home,,,,,,,,,,,,11,,,0,0,False,False
12,NO,ATL,Home,,,,,,,,,,,,12,,,0,0,False,False
15,NO,CAR,Home,,,,,,,,,,,,15,,,0,0,False,False
16,NO,NYJ,Home,,,,,,,,,,,,16,,,0,0,False,False
3,NYG,KC,Home,,,,,,,,,,,,3,,,0,0,False,False
4,NYG,LAC,Home,,,,,,,,,,,,4,,,0,0,False,False
6,NYG,PHI,Home,,,,,,,,,,,,6,,,0,0,False,False
9,NYG,SF,Home,,,,,,,,,,,,9,,,0,0,False,False
11,NYG,GB,Home,,,,,,,,,,,,11,,,0,0,False,False
14,NYG,BYE,Home,,,,,,,,,,,,14,,,0,0,False,False
15,NYG,WSH,Home,,,,,,,,,,,,15,,,0,0,False,False
16,NYG,MIN,Home,,,,,,,,,,,,16,,,0,0,False,False
18,NYG,DAL,Home,,,,,,,,,,,,18,,,0,0,False,False
1,NYJ,PIT,Home,,,,,,,,,,,,1,,,0,0,False,False
2,NYJ,BUF,Home,,,,,,,,,,,,2,,,0,0,False,False
5,NYJ,DAL,Home,,,,,,,,,,,,5,,,0,0,False,False
6,NYJ,DEN,Home,,,,,,,,,,,,6,,,0,0,False,False
7,NYJ,CAR,Home,,,,,,,,,,,,7,,,0,0,False,False
9,NYJ,BYE,Home,,,,,,,,,,,,9,,,0,0,False,False
10,NYJ,CLE,Home,,,,,,,,,,,,10,,,0,0,False,False
13,NYJ,ATL,Home,,,,,,,,,,,,13,,,0,0,False,False
14,NYJ,MIA,Home,,,,,,,,,,,,14,,,0,0,False,False
17,NYJ,NE,Home,,,,,,,,,,,,17,,,0,0,False,False
1,PHI,DAL,Home,,,,,,,,,,,,1,,,0,0,False,False
3,PHI,LAR,Home,,,,,,,,,,,,3,,,0,0,False,False
5,PHI,DEN,Home,,,,,,,,,,,,5,,,0,0,False,False
8,PHI,NYG,Home,,,,,,,,,,,,8,,,0,0,False,False
9,PHI,BYE,Home,,,,,,,,,,,,9,,,0,0,False,False
11,PHI,DET,Home,,,,,,,,,,,,11,,,0,0,False,False
13,PHI,CHI,Home,,,,,,,,,,,,13,,,0,0,False,False
15,PHI,LV,Home,,,,,,,,,,,,15,,,0,0,False,False
18,PHI,WSH,Home,,,,,,,,,,,,18,,,0,0,False,False
2,PIT,SEA,Home,,,,,,,,,,,,2,,,0,0,False,False
4,PIT,MIN,Home,,,,,,,,,,,,4,,,0,0,False,False
5,PIT,BYE,Home,,,,,,,,,,,,5,,,0,0,False,False
6,PIT,CLE,Home,,,,,,,,,,,,6,,,0,0,False,False
8,PIT,GB,Home,,,,,,,,,,,,8,,,0,0,False,False
9,PIT,IND,Home,,,,,,,,,,,,9,,,0,0,False,False
11,PIT,CIN,Home,,,,,,,,,,,,11,,,0,0,False,False
13,PIT,BUF,Home,,,,,,,,,,,,13,,,0,0,False,False
15,PIT,MIA,Home,,,,,,,,,,,,15,,,0,0,False,False
18,PIT,BAL,Home,,,,,,,,,,,,18,,,0,0,False,False
1,SEA,SF,Home,,,,,,,,,,,,1,,,0,0,False,False
3,SEA,NO,Home,,,,,,,,,,,,3,,,0,0,False,False
5,SEA,TB,Home,,,,,,,,,,,,5,,,0,0,False,False
7,SEA,HOU,Home,,,,,,,,,,,,7,,,0,0,False,False
8,SEA,BYE,Home,,,,,,,,,,,,8,,,0,0,False,False
10,SEA,ARI,Home,,,,,,,,,,,,10,,,0,0,False,False
13,SEA,MIN,Home,,,,,,,,,,,,13,,,0,0,False,False
15,SEA,IND,Home,,,,,,,,,,,,15,,,0,0,False,False
16,SEA,LAR,Home,,,,,,,,,,,,16,,,0,0,False,False
3,SF,ARI,Home,,,,,,,,,,,,3,,,0,0,False,False
4,SF,JAX,Home,,,,,,,,,,,,4,,,0,0,False,False
7,SF,ATL,Home,,,,,,,,,,,,7,,,0,0,False,False
10,SF,LAR,Home,,,,,,,,,,,,10,,,0,0,False,False
12,SF,CAR,Home,,,,,,,,,,,,12,,,0,0,False,False
14,SF,BYE,Home,,,,,,,,,,,,14,,,0,0,False,False
15,SF,TEN,Home,,,,,,,,,,,,15,,,0,0,False,False
17,SF,CHI,Home,,,,,,,,,,,,17,,,0,0,False,False
18,SF,SEA,Home,,,,,,,,,,,,18,,,0,0,False,False
3,TB,NYJ,Home,,,,,,,,,,,,3,,,0,0,False,False
4,TB,PHI,Home,,,,,,,,,,,,4,,,0,0,False,False
6,TB,SF,Home,,,,,,,,,,,,6,,,0,0,False,False
9,TB,BYE,Home,,,,,,,,,,,,9,,,0,0,False,False
10,TB,NE,Home,,,,,,,,,,,,10,,,0,0,False,False
13,TB,ARI,Home,,,,,,,,,,,,13,,,0,0,False,False
14,TB,NO,Home,,,,,,,,,,,,14,,,0,0,False,False
15,TB,ATL,Home,,,,,,,,,,,,15,,,0,0,False,False
18,TB,CAR,Home,,,,,,,,,,,,18,,,0,0,False,False
2,TEN,LAR,Home,,,,,,,,,,,,2,,,0,0,False,False
3,TEN,IND,Home,,,,,,,,,,,,3,,,0,0,False,False
7,TEN,NE,Home,,,,,,,,,,,,7,,,0,0,False,False
9,TEN,LAC,Home,,,,,,,,,,,,9,,,0,0,False,False
10,TEN,BYE,Home,,,,,,,,,,,,10,,,0,0,False,False
11,TEN,HOU,Home,,,,,,,,,,,,11,,,0,0,False,False
12,TEN,SEA,Home,,,,,,,,,,,,12,,,0,0,False,False
13,TEN,JAX,Home,,,,,,,,,,,,13,,,0,0,False,False
16,TEN,KC,Home,,,,,,,,,,,,16,,,0,0,False,False
17,TEN,NO,Home,,,,,,,,,,,,17,,,0,0,False,False
1,WSH,NYG,Home,,,,,,,,,,,,1,,,0,0,False,False
3,WSH,LV,Home,,,,,,,,,,,,3,,,0,0,False,False
6,WSH,CHI,Home,,,,,,,,,,,,6,,,0,0,False,False
9,WSH,SEA,Home,,,,,,,,,,,,9,,,0,0,False,False
10,WSH,DET,Home,,,,,,,,,,,,10,,,0,0,False,False
12,WSH,BYE,Home,,,,,,,,,,,,12,,,0,0,False,False
13,WSH,DEN,Home,,,,,,,,,,,,13,,,0,0,False,False
16,WSH,PHI,Home,,,,,,,,,,,,16,,,0,0,False,False
17,WSH,DAL,Home,,,,,,,,,,,,17,,,0,0,False,False
