week,team,opponent,home_or_away,projected_win_prob,spot_value,spot_value_score
1,TEN,DEN,Away,0.2360248447204969,Low,0.0784411485121886
2,BAL,CLE,Home,0.7600000000000001,Medium,0.4941682390472803
2,CIN,JAX,Home,0.6750312469954812,Medium,0.4548264980800107
2,ARI,CAR,Home,0.6574752261956054,Medium,0.4525885987684189
2,MIN,ATL,Home,0.6636481241914618,Medium,0.4513546030502713
2,PIT,SEA,Home,0.551441114716549,Low,0.3883838471036737
2,DAL,NYG,Home,0.5324675324675325,Low,0.381826079196473
2,HOU,TB,Home,0.5427435387673957,Low,0.3786419628283653
2,SF,NO,Away,0.7335423197492164,Low,0.3746090492621038
2,DET,CHI,Home,0.5324675324675325,Low,0.356540897738835
2,LAR,TEN,Away,0.6750312469954812,Low,0.3484780603045833
2,KC,PHI,Home,0.5156031672100606,Low,0.3465258420378014
2,GB,WSH,Home,0.5,Low,0.3382520765619357
2,MIA,NE,Home,0.448558885283451,Low,0.3069568760714687
2,DEN,IND,Away,0.6224665518611737,Low,0.3064529699810225
2,LAC,LV,Away,0.49,Low,0.276615339821029
2,IND,DEN,Home,0.3775334481388264,Low,0.2649798462706195
2,WSH,GB,Away,0.5,Low,0.2433333333333333
2,CLE,BAL,Away,0.5,Low,0.2433333333333333
2,CHI,DET,Away,0.5,Low,0.2407246748071613
2,NYG,DAL,Away,0.5,Low,0.24008658008658
2,TEN,LAR,Home,0.3249687530045188,Low,0.2337660075064214
2,NE,MIA,Away,0.5,Low,0.2333694561509131
2,PHI,KC,Away,0.4843968327899395,Low,0.2219863173979798
2,LV,LAC,Home,0.299837925445705,Low,0.2182174235469363
2,BUF,NYJ,Away,0.5,Low,0.2167431228816899
2,NO,SF,Home,0.2664576802507837,Low,0.2097315758524026
2,TB,HOU,Away,0.4572564612326044,Low,0.2090304279719875
2,SEA,PIT,Away,0.448558885283451,Low,0.2027894111301223
2,NYJ,BUF,Home,0.2340978954835658,Low,0.1912158874954643
2,CAR,ARI,Away,0.3425247738043946,Low,0.1351528127727536
2,ATL,MIN,Away,0.3363518758085381,Low,0.1281789816446036
2,JAX,CIN,Away,0.3249687530045188,Low,0.1246896309522473
3,TB,NYJ,Home,0.740871613663133,Medium,0.4896277195221841
3,SEA,NO,Home,0.705033164260632,Medium,0.4866084223630557
3,BUF,MIA,Home,0.6805555555555556,Medium,0.4514711494557598
3,PHI,LAR,Home,0.6636481241914618,Low,0.4444252218055212
3,BAL,DET,Home,0.6309403437815976,Low,0.4226896945465652
3,CHI,DAL,Home,0.5996387718242023,Low,0.4098576307846772
3,NE,PIT,Home,0.5324675324675325,Low,0.3694670659685798
3,WSH,LV,Home,0.5,Low,0.3633333333333333
3,MIN,CIN,Home,0.5324675324675325,Low,0.3630838619430895
3,SF,ARI,Home,0.5324675324675325,Low,0.3621919201581501
3,KC,NYG,Away,0.7135512302607419,Low,0.3608355461171006
3,GB,CLE,Away,0.6957699520733487,Low,0.3593086054042184
3,LAC,DEN,Home,0.448558885283451,Low,0.3060199569214461
3,CAR,ATL,Home,0.4003612281757977,Low,0.2897934758461123
3,TEN,IND,Home,0.3775334481388264,Low,0.2663028780109109
3,JAX,HOU,Home,0.3775334481388264,Low,0.2627535835767136
3,HOU,JAX,Away,0.5,Low,0.2433333333333333
3,IND,TEN,Away,0.5,Low,0.2433333333333333
3,LV,WSH,Away,0.5,Low,0.2433333333333333
3,MIA,BUF,Away,0.5,Low,0.24008658008658
3,ATL,CAR,Away,0.5,Low,0.24008658008658
3,ARI,SF,Away,0.5,Low,0.24008658008658
3,CLE,GB,Home,0.3042300479266513,Low,0.2296383901356716
3,DEN,LAC,Away,0.5,Low,0.2203461381044261
3,NYG,KC,Home,0.2864487697392581,Low,0.2200091164666923
3,PIT,NE,Away,0.4675324675324675,Low,0.2196964759985387
3,CIN,MIN,Away,0.4675324675324675,Low,0.2170878174723667
3,DAL,CHI,Away,0.4003612281757977,Low,0.1672580229006293
3,DET,BAL,Away,0.3690596562184025,Low,0.1491348110558584
3,LAR,PHI,Away,0.3363518758085381,Low,0.1179267594815207
3,NO,SEA,Away,0.2949668357393679,Low,0.1078115891174935
3,NYJ,TB,Away,0.2591283863368669,Low,0.0893556315228034
4,BUF,NO,Home,0.8370993168681029,Medium,0.5313757035200153
4,DET,CLE,Home,0.8042929292929294,Medium,0.5183394226974478
4,LAR,IND,Home,0.7220792588780237,Medium,0.4796755558830634
4,SF,JAX,Home,0.6750312469954812,Medium,0.4571987652044415
4,NE,CAR,Home,0.6224665518611737,Low,0.4319370405103817
4,HOU,TEN,Home,0.593369754159424,Low,0.4142540886471827
4,DEN,CIN,Home,0.5634920634920635,Low,0.3844274389094378
4,MIA,NYJ,Home,0.5324675324675325,Low,0.3678909023627211
4,KC,BAL,Home,0.5278969957081545,Low,0.3554665917086354
4,ATL,WSH,Home,0.5,Low,0.3469685209141871
4,DAL,GB,Home,0.4675324675324675,Low,0.3345523645268838
4,LV,CHI,Home,0.4739134147382802,Low,0.3320769405342766
4,PIT,MIN,Home,0.4721030042918455,Low,0.3307627897234485
4,ARI,SEA,Home,0.4739134147382802,Low,0.3253983405948999
4,LAC,NYG,Away,0.6224665518611737,Low,0.3136926425903692
4,TB,PHI,Home,0.4365079365079364,Low,0.2897776416255718
4,PHI,TB,Away,0.5634920634920635,Low,0.2792418322369955
4,NYG,LAC,Home,0.3775334481388264,Low,0.2739797482099836
