week,team,opponent,home_or_away,projected_win_prob,spot_value,spot_value_score
6,ARI,IND,Away,0.5324675324675325,Low,0.2745459482438855
6,DAL,CAR,Away,0.5324675324675325,Low,0.2637234374213747
6,ATL,BUF,Home,0.3249687530045188,Low,0.2621927556517954
6,PHI,NYG,Away,0.5,Low,0.2433333333333333
6,CLE,PIT,Away,0.5,Low,0.2433333333333333
6,CHI,WSH,Away,0.5,Low,0.2433333333333333
6,NYJ,DEN,Home,0.2701280477109278,Low,0.2378089489923299
6,SEA,JAX,Away,0.4675324675324675,Low,0.2229432292452919
6,SF,TB,Away,0.4572564612326044,Low,0.2165515350954804
6,NYG,PHI,Home,0.1918429003021148,Low,0.2104521136116471
6,DET,KC,Away,0.4170073589533933,Low,0.1921022258362023
6,CIN,GB,Away,0.4066302458405761,Low,0.1860020308158657
6,TEN,LV,Away,0.3907637655417407,Low,0.1768766399229789
6,LAR,BAL,Away,0.3194444444444444,Low,0.1395411410796521
