week,team,opponent,date,time,home_or_away,projected_win_prob,team_tot_dvoa,opp_tot_dvoa,dvoa_gap,rating_gap,injury_adjustment,future_scarcity_bonus,moneyline,opp_moneyline,implied_wp,spread,consensus_spread,circa_spread,circa_spread_price
6,GB,CIN,,,,0.593369754159424,,,,,,,-162.0,136.0,0.593369754159424,-3.0,-3.0,,
6,IND,ARI,,,,0.4675324675324675,,,,,,,105.0,-125.0,0.4675324675324675,1.5,1.5,,
6,JAX,SEA,,,,0.5324675324675325,,,,,,,-125.0,105.0,0.5324675324675325,-1.5,-1.5,,
6,KC,DET,,,,0.5829926410466066,,,,,,,-155.0,130.0,0.5829926410466066,-2.75,-2.75,,
6,LAC,MIA,,,,0.5634920634920635,,,,,,,-142.0,120.0,0.5634920634920635,-2.5,-2.5,,
6,LAR,BAL,,,,0.3194444444444444,,,,,,,200.0,-245.0,0.3194444444444444,5.5,5.5,,
6,LV,TEN,,,,0.6092362344582594,,,,,,,-175.0,145.0,0.6092362344582594,-3.0,-3.0,,
6,MIA,LAC,,,,0.4365079365079364,,,,,,,120.0,-142.0,0.43650793650793646,2.5,2.5,,
6,NE,NO,,,,0.5996387718242023,,,,,,,-166.0,140.0,0.5996387718242023,-3.0,-3.0,,
6,NO,NE,,,,0.4003612281757977,,,,,,,140.0,-166.0,0.4003612281757977,3.0,3.0,,
6,NYG,PHI,,,,0.1918429003021148,,,,,,,400.0,-535.0,0.19184290030211482,10.5,10.5,,
6,NYJ,DEN,,,,0.2701280477109278,,,,,,,265.0,-285.0,0.27012804771092785,6.5,6.5,,
6,PIT,CLE,,,,0.551441114716549,,,,,,,-135.0,114.0,0.551441114716549,-2.5,-2.5,,
6,SEA,JAX,,,,0.4675324675324675,,,,,,,105.0,-125.0,0.4675324675324675,1.5,1.5,,
6,SF,TB,,,,0.4572564612326044,,,,,,,110.0,-130.0,0.4572564612326044,1.5,1.5,,
6,TB,SF,,,,0.5427435387673957,,,,,,,-130.0,110.0,0.5427435387673957,-1.5,-1.5,,
6,TEN,LV,,,,0.3907637655417407,,,,,,,145.0,-175.0,0.39076376554174075,3.0,3.0,,
7,ARI,GB,,,,0.4739134147382802,,,,,,,102.0,-122.0,0.4739134147382802,1.5,1.5,,
7,ATL,SF,,,,0.2904564315352697,,,,,,,230.0,-285.0,0.2904564315352697,6.5,6.5,,
7,CAR,NYJ,,,,0.4675324675324675,,,,,,,105.0,-125.0,0.4675324675324675,1.5,1.5,,
7,CHI,NO,,,,0.7440690150970525,,,,,,,-345.0,275.0,0.7440690150970525,-7.5,-7.5,,
7,CIN,PIT,,,,0.5324675324675325,,,,,,,-125.0,105.0,0.5324675324675325,-1.5,-1.5,,
7,CLE,MIA,,,,0.4675324675324675,,,,,,,105.0,-125.0,0.4675324675324675,1.5,1.5,,
