week,date,time,team,opponent,home_or_away,holiday_flag,rest_days,reserved,is_locked_out,expected_avail,preferred,must_use,save_for_later,notes_future,notes,spot_quality,projected_win_prob,team_tot_dvoa,opp_tot_dvoa,dvoa_gap,moneyline,spread,implied_wp,power_rating,opp_power_rating,power_gap,rest_diff,travel_miles,rating_gap,injury_adjustment,future_scarcity_bonus,opp_moneyline,consensus_spread,circa_spread,circa_spread_price,team_total_dvoa,opp_total_dvoa,sv_win,sv_home,sv_rest,sv_rating,sv_dvoa,sv_injury,sv_holiday,max_future_prob,future_depth_ge55,opportunity_delta,od_norm,fd_norm,future_scarcity_boost_raw,future_scarcity_boost,sv_scarcity,OD_norm,FD_norm
4,2025-09-28 00:00:00,4:25 PM,BAL,KC,Away,,5,False,False,True,False,False,False,,,,0.4721030042918455,,,,105.0,1.5,0.4721030042918455,,,,,,,0.0,,,,,,,,0.2503316426063207,0.0,0.0166666666666666,,0.0,0.0,0.0,0.8223350253807106,9,-0.3502320210888651,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2025-10-05 00:00:00,1:00 PM,BAL,HOU,Home,,6,False,False,True,False,False,False,,,,0.7508125677139762,,,,-360.0,-7.5,0.7508125677139762,,,,,,,0.0,,,,,,,,0.655727371220329,0.1,0.0333333333333333,,0.0,0.0,0.0,0.8223350253807106,8,-0.0715224576667343,0.2569550846665313,0.0,0.12,0.1,0.1,0.2569550846665313,0.0
6,2025-10-12 00:00:00,1:00 PM,BAL,LAR,Home,,7,False,False,True,False,False,False,,,,0.6805555555555556,,,,-245.0,-5.5,0.6805555555555556,,,,,,,0.0,,,,,,,,0.5535353535353535,0.1,0.05,,0.0,0.0,0.0,0.8223350253807106,7,-0.141779469825155,0.11644106034969,0.0,0.069864636209814,0.058220530174845,0.058220530174845,0.11644106034969,0.0
8,2025-10-26 00:00:00,1:00 PM,BAL,CHI,Home,,14,False,False,True,False,False,False,,,,0.7335423197492164,,,,-325.0,-7.0,0.7335423197492164,,,,,,,0.0,,,,,,,,0.6306070105443147,0.1,0.1,,0.0,0.0,0.0,0.8223350253807106,6,-0.0887927056314942,0.2224145887370116,0.0,0.12,0.1,0.1,0.2224145887370116,0.0
9,2025-10-30 00:00:00,8:15 PM,BAL,MIA,Away,,4,False,False,True,False,False,False,,,,0.6805555555555556,,,,-245.0,-5.5,0.6805555555555556,,,,,,,0.0,,,,,,,,0.5535353535353535,0.0,0.0,,0.0,0.0,0.0,0.8223350253807106,5,-0.141779469825155,0.11644106034969,0.0,0.069864636209814,0.058220530174845,0.058220530174845,0.11644106034969,0.0
10,2025-11-09 00:00:00,1:00 PM,BAL,MIN,Away,,9,False,False,True,False,False,False,,,,0.6224665518611737,,,,-185.0,-3.5,0.6224665518611737,,,,,,,0.0,,,,,,,,0.4690422572526163,0.0,0.0833333333333333,,0.0,0.0,0.0,0.8223350253807106,4,-0.1998684735195368,0.0002630529609263,0.0,0.0001578317765557,0.0001315264804631,0.0001315264804631,0.0002630529609263,0.0
11,2025-11-16 00:00:00,4:25 PM,BAL,CLE,Away,,7,False,False,True,False,False,False,,,,0.5,,,,,,,,,,,,,0.0,,,,,,,,0.2909090909090909,0.0,0.05,,0.0,0.0,0.0,0.8223350253807106,4,-0.3223350253807105,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2025-11-23 00:00:00,1:00 PM,BAL,NYJ,Home,,6,False,False,True,False,False,False,,,,0.8223350253807106,,,,-600.0,-11.5,0.8223350253807106,,,,,,,0.0,,,,,,,,0.7597600369173972,0.1,0.0333333333333333,,0.0,0.0,0.0,0.7659021045164341,3,0.0564329208642764,0.5128658417285529,0.0,0.12,0.1,0.1,0.5128658417285529,0.0
13,2025-11-27 00:00:00,8:20 PM,BAL,CIN,Home,Thanksgiving,4,False,False,True,False,False,False,,,,0.551441114716549,,,,-135.0,-2.5,0.551441114716549,,,,,,,0.0,,,,,,,,0.3657325304967985,0.1,0.0,,0.0,0.0,-0.03,0.7659021045164341,2,-0.2144609897998851,0.0,0.3333333333333333,0.12,0.1,0.1,0.0,0.3333333333333333
14,2025-12-07 00:00:00,1:00 PM,BAL,PIT,Home,,9,False,False,True,False,False,False,,,,0.644729178800233,,,,-205.0,-4.5,0.644729178800233,,,,,,,0.0,,,,,,,,0.5014242600730662,0.1,0.0833333333333333,,0.0,0.0,0.0,0.7659021045164341,1,-0.1211729257162012,0.1576541485675976,0.6666666666666667,0.12,0.1,0.1,0.1576541485675976,0.6666666666666667
