week,date,team,opponent,home_or_away,time,rest_days,reserved,is_locked_out,expected_avail,spot_value,projected_win_prob,notes_future,spot_quality,preferred,must_use,save_for_later,notes,spot_value_score
3,2025-09-21,MIN,CIN,Home,1:00 PM,7,,,,Low,0.4878,,,,,,,0.4601
3,2025-09-21,NE,PIT,Home,1:00 PM,7,,,,Medium,0.5556,,,,,,,0.567
3,2025-09-21,NO,SEA,Away,4:05 PM,7,,,,Medium,0.7354,,,,,,,0.6156
3,2025-09-21,NYG,KC,Home,8:20 PM,7,,,,High,0.7403,,,,,,,0.716
3,2025-09-21,NYJ,TB,Away,1:00 PM,7,,,,Medium,0.7727,,,,,,,0.6609
3,2025-09-21,PHI,LAR,Home,1:00 PM,7,,,,Low,0.3571,,,,,,,0.3694
3,2025-09-21,PIT,NE,Away,1:00 PM,7,,,,Low,0.4878,,,,,,,0.4628
3,2025-09-21,SEA,NO,Home,4:05 PM,7,,,,Low,0.3077,,,,,,,0.3234
3,2025-09-21,SF,ARI,Home,4:25 PM,7,,,,Medium,0.5556,,,,,,,0.5006
3,2025-09-21,TB,NYJ,Home,1:00 PM,6,,,,Low,0.2703,,,,,,,0.309
3,2025-09-21,TEN,IND,Home,1:00 PM,7,,,,Low,0.3937,,,,,,,0.4187
3,2025-09-21,WSH,LV,Home,1:00 PM,10,,,,Low,0.2632,,,,,,,0.3235
4,2025-09-25,ARI,SEA,Home,8:15 PM,4,,,,Medium,0.5495,,,,,,,0.5043
4,2025-09-28,ATL,WSH,Home,1:00 PM,7,,,,Low,0.3937,,,,,,,0.4038
4,2025-09-28,BAL,KC,Away,4:25 PM,6,,,,Low,0.5556,,,,,,,0.4988
4,2025-09-28,BUF,NO,Home,1:00 PM,10,,,,High,0.8667,,,,,,,0.8106
4,2025-09-28,CAR,NE,Away,1:00 PM,7,,,,Medium,0.6491,,,,,,,0.5276
4,2025-09-28,CHI,LV,Away,4:25 PM,7,,,,Low,0.495,,,,,,,0.4115
4,2025-09-29,CIN,DEN,Away,8:15 PM,8,,,,Low,0.5745,,,,,,,0.4798
4,2025-09-28,CLE,DET,Away,1:00 PM,7,,,,High,0.8387,,,,,,,0.8194
4,2025-09-28,DAL,GB,Home,8:20 PM,7,,,,Medium,0.4878,,,,,,,0.513
4,2025-09-29,DEN,CIN,Home,8:15 PM,8,,,,Low,0.4673,,,,,,,0.4441
4,2025-09-28,DET,CLE,Home,1:00 PM,6,,,,Low,0.2041,,,,,,,0.3617
4,2025-09-28,GB,DAL,Away,8:20 PM,7,,,,Medium,0.5556,,,,,,,0.5172
4,2025-09-28,HOU,TEN,Home,1:00 PM,7,,,,Low,0.4237,,,,,,,0.467
4,2025-09-28,IND,LAR,Away,4:05 PM,7,,,,Medium,0.7487,,,,,,,0.6249
4,2025-09-28,JAX,SF,Away,4:05 PM,7,,,,Medium,0.7041,,,,,,,0.6131
4,2025-09-28,KC,BAL,Home,4:25 PM,7,,,,Low,0.4878,,,,,,,0.4946
4,2025-09-28,LAC,NYG,Away,1:00 PM,7,,,,Low,0.3937,,,,,,,0.3846
4,2025-09-28,LAR,IND,Home,4:05 PM,7,,,,Low,0.2941,,,,,,,0.3112
4,2025-09-28,LV,CHI,Home,4:25 PM,7,,,,Medium,0.5495,,,,,,,0.5051
4,2025-09-29,MIA,NYJ,Home,7:15 PM,11,,,,Low,0.4878,,,,,,,0.4454
4,2025-09-28,MIN,PIT,Away,9:30 AM,7,,,,Low,0.4878,,,,,,,0.4114
4,2025-09-28,NE,CAR,Home,1:00 PM,7,,,,Low,0.3937,,,,,,,0.3732
4,2025-09-28,NO,BUF,Away,1:00 PM,7,,,,Low,0.1754,,,,,,,0.2076
4,2025-09-28,NYG,LAC,Home,1:00 PM,7,,,,Medium,0.6491,,,,,,,0.6389
4,2025-09-29,NYJ,MIA,Away,7:15 PM,8,,,,Low,0.5556,,,,,,,0.4496
4,2025-09-28,PHI,TB,Away,1:00 PM,7,,,,Low,0.4545,,,,,,,0.3889
4,2025-09-28,PIT,MIN,Home,9:30 AM,7,,,,Medium,0.5556,,,,,,,0.5157
4,2025-09-25,SEA,ARI,Away,8:15 PM,4,,,,Low,0.495,,,,,,,0.4107
4,2025-09-28,SF,JAX,Home,4:05 PM,7,,,,Low,0.339,,,,,,,0.371
4,2025-09-28,TB,PHI,Home,1:00 PM,7,,,,Medium,0.5868,,,,,,,0.5448
4,2025-09-28,TEN,HOU,Away,1:00 PM,7,,,,Medium,0.6183,,,,,,,0.5727
4,2025-09-28,WSH,ATL,Away,1:00 PM,7,,,,Medium,0.6491,,,,,,,0.5581
5,2025-10-05,ARI,TEN,Home,4:05 PM,10,,,,Medium,0.7041,,,,,,,0.6982
5,2025-10-05,BAL,HOU,Home,1:00 PM,7,,,,High,0.7826,,,,,,,0.7488
5,2025-10-05,BUF,NE,Home,8:20 PM,7,,,,Low,0.3571,,,,,,,0.4404
5,2025-10-05,CAR,MIA,Home,1:00 PM,7,,,,Low,0.495,,,,,,,0.4933
5,2025-10-05,CIN,DET,Home,4:25 PM,6,,,,Medium,0.495,,,,,,,0.5025
5,2025-10-05,CLE,MIN,Home,9:30 AM,7,,,,Low,0.2703,,,,,,,0.378
5,2025-10-05,DAL,NYJ,Away,1:00 PM,7,,,,Low,0.4545,,,,,,,0.366
5,2025-10-05,DEN,PHI,Away,1:00 PM,6,,,,Medium,0.6721,,,,,,,0.5495
5,2025-10-05,DET,CIN,Away,4:25 PM,7,,,,Low,0.5495,,,,,,,0.4961
5,2025-10-05,HOU,BAL,Away,1:00 PM,7,,,,Low,0.2597,,,,,,,0.2805
5,2025-10-05,IND,LV,Home,1:00 PM,7,,,,Medium,0.5556,,,,,,,0.521
5,2025-10-06,JAX,KC,Home,8:15 PM,8,,,,Low,0.3704,,,,,,,0.4118
5,2025-10-06,KC,JAX,Away,8:15 PM,8,,,,Medium,0.6721,,,,,,,0.6032
5,2025-10-05,LAC,WSH,Home,4:25 PM,7,,,,Low,0.5556,,,,,,,0.4986
5,2025-10-02,LAR,SF,Home,8:15 PM,4,,,,Low,0.5556,,,,,,,0.4996
5,2025-10-05,LV,IND,Away,1:00 PM,7,,,,Low,0.4878,,,,,,,0.4167
5,2025-10-05,MIA,CAR,Away,1:00 PM,6,,,,Low,0.5495,,,,,,,0.4869
5,2025-10-05,MIN,CLE,Away,9:30 AM,7,,,,High,0.7727,,,,,,,0.7299
5,2025-10-05,NE,BUF,Away,8:20 PM,7,,,,Medium,0.6855,,,,,,,0.6531
5,2025-10-05,NO,NYG,Home,1:00 PM,7,,,,Low,0.4878,,,,,,,0.4644
5,2025-10-05,NYG,NO,Away,1:00 PM,7,,,,Low,0.5556,,,,,,,0.4686
5,2025-10-05,NYJ,DAL,Home,1:00 PM,6,,,,Medium,0.5868,,,,,,,0.5218
5,2025-10-05,PHI,DEN,Home,1:00 PM,7,,,,Low,0.3704,,,,,,,0.3581
5,2025-10-05,SEA,TB,Home,4:05 PM,10,,,,Low,0.4878,,,,,,,0.4562
5,2025-10-02,SF,LAR,Away,8:15 PM,4,,,,Low,0.4878,,,,,,,0.3954
5,2025-10-05,TB,SEA,Away,4:05 PM,7,,,,Low,0.5556,,,,,,,0.4604
