week,team,opponent,home_or_away,reserved,is_locked_out,expected_avail,spot_value,projected_win_prob,notes_future,spot_quality,preferred,must_use,save_for_later,notes,holiday_flag,spot_value_score,scarcity_boost
11,MIA,WSH,Home,,,,,,,,,,,,,,
12,MIA,BYE,Home,,,,,,,,,,,,,,
13,MIA,NO,Home,,,,,,,,,,,,,,
14,MIA,NYJ,Away,,,,,,,,,,,,,,
15,MIA,PIT,Away,,,,,,,,,,,,,,
16,MIA,CIN,Home,,,,,,,,,,,,,,
17,MIA,TB,Home,,,,,,,,,,,,,,
18,MIA,NE,Away,,,,,,,,,,,,,,
1,MIN,CHI,Away,,,,,,,,,,,,,,
2,MIN,ATL,Home,,,,,,,,,,,,,,
3,MIN,CIN,Home,,,,,,,,,,,,,,
4,MIN,PIT,Away,,,,,,,,,,,,,,
5,MIN,CLE,Away,,,,,,,,,,,,,,
6,MIN,BYE,Home,,,,,,,,,,,,,,
7,MIN,PHI,Home,,,,,,,,,,,,,,
8,MIN,LAC,Away,,,,,,,,,,,,,,
9,MIN,DET,Away,,,,,,,,,,,,,,
10,MIN,BAL,Home,,,,,,,,,,,,,,
11,MIN,CHI,Home,,,,,,,,,,,,,,
12,MIN,GB,Away,,,,,,,,,,,,,,
13,MIN,SEA,Away,,,,,,,,,,,,,,
14,MIN,WSH,Home,,,,,,,,,,,,,,
15,MIN,DAL,Away,,,,,,,,,,,,,,
16,MIN,NYG,Away,,,,,,,,,,,,,,
17,MIN,DET,Home,,,,,,,,,,,,Christmas,,
18,MIN,GB,Home,,,,,,,,,,,,,,
1,NE,LV,Home,,,,,,,,,,,,,,
2,NE,MIA,Away,,,,,,,,,,,,,,
3,NE,PIT,Home,,,,,,,,,,,,,,
4,NE,CAR,Home,,,,,,,,,,,,,,
5,NE,BUF,Away,,,,,,,,,,,,,,
6,NE,NO,Away,,,,,,,,,,,,,,
7,NE,TEN,Away,,,,,,,,,,,,,,
8,NE,CLE,Home,,,,,,,,,,,,,,
9,NE,ATL,Home,,,,,,,,,,,,,,
10,NE,TB,Away,,,,,,,,,,,,,,
11,NE,NYJ,Home,,,,,,,,,,,,,,
12,NE,CIN,Away,,,,,,,,,,,,,,
13,NE,NYG,Home,,,,,,,,,,,,,,
14,NE,BYE,Home,,,,,,,,,,,,,,
15,NE,BUF,Home,,,,,,,,,,,,,,
16,NE,BAL,Away,,,,,,,,,,,,,,
17,NE,NYJ,Away,,,,,,,,,,,,,,
18,NE,MIA,Home,,,,,,,,,,,,,,
1,NO,ARI,Home,,,,,,,,,,,,,,
2,NO,SF,Home,,,,,,,,,,,,,,
3,NO,SEA,Away,,,,,,,,,,,,,,
4,NO,BUF,Away,,,,,,,,,,,,,,
5,NO,NYG,Home,,,,,,,,,,,,,,
6,NO,NE,Home,,,,,,,,,,,,,,
7,NO,CHI,Away,,,,,,,,,,,,,,
8,NO,TB,Home,,,,,,,,,,,,,,
9,NO,LAR,Away,,,,,,,,,,,,,,
10,NO,CAR,Away,,,,,,,,,,,,,,
11,NO,BYE,Home,,,,,,,,,,,,,,
12,NO,ATL,Home,,,,,,,,,,,,,,
13,NO,MIA,Away,,,,,,,,,,,,,,
14,NO,TB,Away,,,,,,,,,,,,,,
15,NO,CAR,Home,,,,,,,,,,,,,,
16,NO,NYJ,Home,,,,,,,,,,,,,,
17,NO,TEN,Away,,,,,,,,,,,,,,
18,NO,ATL,Away,,,,,,,,,,,,,,
1,NYG,WSH,Away,,,,,,,,,,,,,,
2,NYG,DAL,Away,,,,,,,,,,,,,,
3,NYG,KC,Home,,,,,,,,,,,,,,
4,NYG,LAC,Home,,,,,,,,,,,,,,
5,NYG,NO,Away,,,,,,,,,,,,,,
6,NYG,PHI,Home,,,,,,,,,,,,,,
7,NYG,DEN,Away,,,,,,,,,,,,,,
8,NYG,PHI,Away,,,,,,,,,,,,,,
9,NYG,SF,Home,,,,,,,,,,,,,,
10,NYG,CHI,Away,,,,,,,,,,,,,,
11,NYG,GB,Home,,,,,,,,,,,,,,
12,NYG,DET,Away,,,,,,,,,,,,,,
13,NYG,NE,Away,,,,,,,,,,,,,,
14,NYG,BYE,Home,,,,,,,,,,,,,,
15,NYG,WSH,Home,,,,,,,,,,,,,,
16,NYG,MIN,Home,,,,,,,,,,,,,,
17,NYG,LV,Away,,,,,,,,,,,,,,
18,NYG,DAL,Home,,,,,,,,,,,,,,
1,NYJ,PIT,Home,,,,,,,,,,,,,,
2,NYJ,BUF,Home,,,,,,,,,,,,,,
3,NYJ,TB,Away,,,,,,,,,,,,,,
4,NYJ,MIA,Away,,,,,,,,,,,,,,
5,NYJ,DAL,Home,,,,,,,,,,,,,,
6,NYJ,DEN,Home,,,,,,,,,,,,,,
7,NYJ,CAR,Home,,,,,,,,,,,,,,
8,NYJ,CIN,Away,,,,,,,,,,,,,,
9,NYJ,BYE,Home,,,,,,,,,,,,,,
10,NYJ,CLE,Home,,,,,,,,,,,,,,
11,NYJ,NE,Away,,,,,,,,,,,,,,
12,NYJ,BAL,Away,,,,,,,,,,,,,,
13,NYJ,ATL,Home,,,,,,,,,,,,,,
14,NYJ,MIA,Home,,,,,,,,,,,,,,
15,NYJ,JAX,Away,,,,,,,,,,,,,,
16,NYJ,NO,Away,,,,,,,,,,,,,,
17,NYJ,NE,Home,,,,,,,,,,,,,,
18,NYJ,BUF,Away,,,,,,,,,,,,,,
1,PHI,DAL,Home,,,,,,,,,,,,,,
2,PHI,KC,Away,,,,,,,,,,,,,,
3,PHI,LAR,Home,,,,,,,,,,,,,,
4,PHI,TB,Away,,,,,,,,,,,,,,
5,PHI,DEN,Home,,,,,,,,,,,,,,
6,PHI,NYG,Away,,,,,,,,,,,,,,
7,PHI,MIN,Away,,,,,,,,,,,,,,
8,PHI,NYG,Home,,,,,,,,,,,,,,
9,PHI,BYE,Home,,,,,,,,,,,,,,
10,PHI,GB,Away,,,,,,,,,,,,,,
11,PHI,DET,Home,,,,,,,,,,,,,,
12,PHI,DAL,Away,,,,,,,,,,,,,,
13,PHI,CHI,Home,,,,,,,,,,,,,,
14,PHI,LAC,Away,,,,,,,,,,,,,,
15,PHI,LV,Home,,,,,,,,,,,,,,
16,PHI,WSH,Away,,,,,,,,,,,,,,
17,PHI,BUF,Away,,,,,,,,,,,,,,
18,PHI,WSH,Home,,,,,,,,,,,,,,
1,PIT,NYJ,Away,,,,,,,,,,,,,,
2,PIT,SEA,Home,,,,,,,,,,,,,,
3,PIT,NE,Away,,,,,,,,,,,,,,
4,PIT,MIN,Home,,,,,,,,,,,,,,
5,PIT,BYE,Home,,,,,,,,,,,,,,
6,PIT,CLE,Home,,,,,,,,,,,,,,
7,PIT,CIN,Away,,,,,,,,,,,,,,
8,PIT,GB,Home,,,,,,,,,,,,,,
9,PIT,IND,Home,,,,,,,,,,,,,,
10,PIT,LAC,Away,,,,,,,,,,,,,,
11,PIT,CIN,Home,,,,,,,,,,,,,,
12,PIT,CHI,Away,,,,,,,,,,,,,,
13,PIT,BUF,Home,,,,,,,,,,,,,,
14,PIT,BAL,Away,,,,,,,,,,,,,,
15,PIT,MIA,Home,,,,,,,,,,,,,,
16,PIT,DET,Away,,,,,,,,,,,,,,
17,PIT,CLE,Away,,,,,,,,,,,,,,
18,PIT,BAL,Home,,,,,,,,,,,,,,
1,SEA,SF,Home,,,,,,,,,,,,,,
2,SEA,PIT,Away,,,,,,,,,,,,,,
3,SEA,NO,Home,,,,,,,,,,,,,,
4,SEA,ARI,Away,,,,,,,,,,,,,,
5,SEA,TB,Home,,,,,,,,,,,,,,
6,SEA,JAX,Away,,,,,,,,,,,,,,
7,SEA,HOU,Home,,,,,,,,,,,,,,
8,SEA,BYE,Home,,,,,,,,,,,,,,
9,SEA,WSH,Away,,,,,,,,,,,,,,
10,SEA,ARI,Home,,,,,,,,,,,,,,
11,SEA,LAR,Away,,,,,,,,,,,,,,
12,SEA,TEN,Away,,,,,,,,,,,,,,
13,SEA,MIN,Home,,,,,,,,,,,,,,
14,SEA,ATL,Away,,,,,,,,,,,,,,
15,SEA,IND,Home,,,,,,,,,,,,,,
16,SEA,LAR,Home,,,,,,,,,,,,,,
17,SEA,CAR,Away,,,,,,,,,,,,,,
18,SEA,SF,Away,,,,,,,,,,,,,,
1,SF,SEA,Away,,,,,,,,,,,,,,
2,SF,NO,Away,,,,,,,,,,,,,,
3,SF,ARI,Home,,,,,,,,,,,,,,
4,SF,JAX,Home,,,,,,,,,,,,,,
5,SF,LAR,Away,,,,,,,,,,,,,,
6,SF,TB,Away,,,,,,,,,,,,,,
7,SF,ATL,Home,,,,,,,,,,,,,,
8,SF,HOU,Away,,,,,,,,,,,,,,
9,SF,NYG,Away,,,,,,,,,,,,,,
10,SF,LAR,Home,,,,,,,,,,,,,,
