week,date,team,opponent,home_or_away,time,rest_days,reserved,is_locked_out,expected_avail,spot_value,projected_win_prob,notes_future,spot_quality,preferred,must_use,save_for_later,notes,spot_value_score
13,2025-11-30,CLE,SF,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
14,2025-12-07,CLE,TEN,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
15,2025-12-14,CLE,CHI,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
16,2025-12-21,CLE,BUF,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
17,2025-12-28,CLE,PIT,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
18,2026-01-04,CLE,CIN,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
1,2025-09-04,DAL,PHI,Away,8:20 PM,0,False,False,False,,,,,False,False,False,,
2,2025-09-14,DAL,NYG,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
3,2025-09-21,DAL,CHI,Away,4:25 PM,0,False,False,False,,,,,False,False,False,,
4,2025-09-28,DAL,GB,Home,8:20 PM,0,False,False,False,,,,,False,False,False,,
5,2025-10-05,DAL,NYJ,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
6,2025-10-12,DAL,CAR,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
7,2025-10-19,DAL,WSH,Home,4:25 PM,0,False,False,False,,,,,False,False,False,,
8,2025-10-26,DAL,DEN,Away,4:25 PM,0,False,False,False,,,,,False,False,False,,
9,2025-11-03,DAL,ARI,Home,8:15 PM,0,False,False,False,,,,,False,False,False,,
10,,DAL,BYE,Home,,0,False,False,False,,,,,False,False,False,,
11,2025-11-17,DAL,LV,Away,8:15 PM,0,False,False,False,,,,,False,False,False,,
12,2025-11-23,DAL,PHI,Home,4:25 PM,0,False,False,False,,,,,False,False,False,,
13,2025-11-27,DAL,KC,Home,4:30 PM,0,False,False,False,,,,,False,False,False,,
14,2025-12-04,DAL,DET,Away,8:15 PM,0,False,False,False,,,,,False,False,False,,
15,2025-12-14,DAL,MIN,Home,8:20 PM,0,False,False,False,,,,,False,False,False,,
16,2025-12-21,DAL,LAC,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
17,2025-12-25,DAL,WSH,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
18,2026-01-04,DAL,NYG,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
1,2025-09-07,DEN,TEN,Home,4:05 PM,0,False,False,False,,,,,False,False,False,,
2,2025-09-14,DEN,IND,Away,4:05 PM,0,False,False,False,,,,,False,False,False,,
3,2025-09-21,DEN,LAC,Away,4:05 PM,0,False,False,False,,,,,False,False,False,,
4,2025-09-29,DEN,CIN,Home,8:15 PM,0,False,False,False,,,,,False,False,False,,
5,2025-10-05,DEN,PHI,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
6,2025-10-12,DEN,NYJ,Away,9:30 AM,0,False,False,False,,,,,False,False,False,,
7,2025-10-19,DEN,NYG,Home,4:05 PM,0,False,False,False,,,,,False,False,False,,
8,2025-10-26,DEN,DAL,Home,4:25 PM,0,False,False,False,,,,,False,False,False,,
9,2025-11-02,DEN,HOU,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
10,2025-11-06,DEN,LV,Home,8:15 PM,0,False,False,False,,,,,False,False,False,,
11,2025-11-16,DEN,KC,Home,4:25 PM,0,False,False,False,,,,,False,False,False,,
12,,DEN,BYE,Home,,0,False,False,False,,,,,False,False,False,,
13,2025-11-30,DEN,WSH,Away,8:20 PM,0,False,False,False,,,,,False,False,False,,
14,2025-12-07,DEN,LV,Away,4:05 PM,0,False,False,False,,,,,False,False,False,,
15,2025-12-14,DEN,GB,Home,4:25 PM,0,False,False,False,,,,,False,False,False,,
16,2025-12-21,DEN,JAX,Home,4:05 PM,0,False,False,False,,,,,False,False,False,,
17,2025-12-25,DEN,KC,Away,8:15 PM,0,False,False,False,,,,,False,False,False,,
18,2026-01-04,DEN,LAC,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
1,2025-09-07,DET,GB,Away,4:25 PM,0,False,False,False,,,,,False,False,False,,
